Country,Total Cases,Total Deaths,Total Recovered,Total Tests,Population
USA,"7,004,768","204,118 ","4,250,140","98,166,609","331,436,330"
India,"5,487,580","87,909 ","4,396,399","64,392,594","1,383,011,810"
Brazil,"4,544,629","136,895 ","3,851,227","15,011,116","212,896,182"
Russia,"1,109,595","19,489 ","911,973","43,100,000","145,948,591"
Peru,"768,895","31,369 ","615,255","3,693,813","33,072,805"
Colombia,"765,076","24,208 ","633,199","3,393,562","51,002,905"
Mexico,"697,663","73,493 ","499,302","1,586,191","129,232,607"
South Africa,"661,211","15,953 ","590,071","4,041,453","59,473,498"
Spain,"659,334","30,495 ",N/A,"10,756,835","46,758,867"
Argentina,"631,365","13,053 ","488,231","1,729,040","45,287,825"
France,"452,763","31,285 ","91,574","10,000,000","65,306,013"
Chile,"446,274","12,286 ","419,746","3,038,333","19,152,666"
Iran,"422,140","24,301 ","359,570","3,746,629","84,229,800"
UK,"394,257","41,777 ",N/A,"21,368,297","67,965,784"
Bangladesh,"348,918","4,939 ","256,565","1,821,270","165,052,979"
Saudi Arabia,"329,754","4,485 ","310,439","6,049,949","34,932,625"
Iraq,"319,035","8,555 ","253,591","2,057,088","40,417,268"
Pakistan,"306,304","6,420 ","292,869","3,194,317","221,824,075"
Turkey,"302,867","7,506 ","267,233","9,269,015","84,539,850"
Italy,"298,156","35,707 ","218,351","10,432,814","60,441,680"
Philippines,"286,743","4,984 ","229,865","3,370,482","109,902,061"
Germany,"273,477","9,470 ","244,000","14,557,136","83,844,113"
Indonesia,"244,676","9,553 ","177,327","2,922,648","274,163,764"
Israel,"188,427","1,256 ","135,991","3,099,883","9,197,590 "
Ukraine,"178,353","3,583 ","77,512","2,038,850","43,673,724"
Canada,"143,649","9,217 ","124,691","6,618,481","37,815,664"
Bolivia,"130,676","7,617 ","89,617","287,453","11,708,040"
Ecuador,"126,419","11,090 ","102,852","387,107","17,701,783"
Qatar,"123,376",210 ,"120,303","724,077","2,807,805 "
Romania,"112,781","4,435 ","89,771","2,223,462","19,208,331"
Dominican Republic,"108,289","2,047 ","81,668","446,239","10,872,013"
Kazakhstan,"107,307","1,671 ","101,941","2,733,455","18,826,274"
Panama,"106,203","2,257 ","81,365","433,808","4,329,639"
Belgium,"102,295","9,948 ","18,965","2,884,890","11,600,926"
Egypt,"102,015","5,770 ","89,532","135,000","102,754,193"
Morocco,"101,743","1,830  ","80,732","2,389,115","37,007,135"
Kuwait,"99,434",584 ,"90,168","707,292","4,284,427"
Netherlands,"93,778","6,279 ",N/A,"2,042,887","17,143,404"
Oman,"93,475",846 ,"85,418","309,212","5,134,466"
Sweden,"88,237","5,865 ",N/A,"1,393,161","10,113,325"
Guatemala,"85,444","3,119 ","74,859","291,203","17,987,703"
UAE,"84,916",404 ,"74,273","8,762,818","9,916,768"
Poland,"79,240","2,293 ","64,302","3,120,895","37,837,225"
Japan,"78,657","1,500 ","71,030","1,842,506","126,388,465"
Belarus,"75,674",780 ,"73,265","1,730,754","9,448,620"
Honduras,"71,616","2,184 ","22,065","170,765","9,939,087"
Ethiopia,"68,820","1,096 ","28,314","1,202,818","115,574,916"
Portugal,"68,577","1,912 ","45,596","2,345,680","10,189,954"
Venezuela,"66,656",547 ,"56,096","1,897,741","28,417,636"
Bahrain,"65,039",221 ,"57,950","1,333,275","1,713,982"
Nepal,"64,122",411 ,"46,233","914,290","29,251,002"
Costa Rica,"63,712",706 ,"23,552","199,713","5,104,444"
Singapore,"57,576",27 ,"57,181","2,498,073","5,860,581"
Nigeria,"57,242","1,098 ","48,569","482,321","207,236,378"
Uzbekistan,"51,789",435 ,"47,932","1,377,915","33,575,689"
Algeria,"49,826","1,672 ","35,047",,"44,023,563"
Czechia,"49,290",503 ,"24,755","1,187,797","10,713,455"
Switzerland,"49,283","2,045 ","40,500","1,251,614","8,668,723"
